name,country_code,currency_code,currency
BAHAMAS,BHS,BSD,Bahamas Dollar
BAHRAIN,BHR,BHD,Dinar
BANGLADESH,BGD,BDT,Taka
BARBADOS,BRB,BBD,Dollar
BELARUS,BLR,BYB,Belarussian Rouble
BELGIUM,BEL,BEF,Franc
BELIZE,BLZ,BZD,Dollar
BENIN,BEN,XOF,C.F.A. Franc
BERMUDA,BMU,BMD,Dollar
BHUTAN,BTN,INR / BTN,Ngultrum / Ind. Rupee
BOLIVIA,BOL,BOB,Boliviano
BOSNIA AND HERZEGOWINA,BIH,-,-
BOTSWANA,BWA,BWP,Pula
BOUVET ISLAND,BVT,NOK,Norwegian Krone
BRAZIL,BRA,BRL,Real
BRIT. INDIAN OCEAN TERRITORY,IOT,USD,Dollar
BRUNEI DARUSSALAM,BRN,BND,Dollar
BULGARIA,BGR,BGL,Lev
BURKINA FASO,BFA,XOF,C.F.A. Franc
BURUNDI,BDI,BIF,Franc
